converted_alias,names
ENSG00000142208,AKT1
ENSG00000002330,BAD
ENSG00000171791,BCL2
ENSG00000010671,BTK
ENSG00000110395,CBL
ENSG00000167193,CRK
ENSG00000099942,CRKL
ENSG00000115325,DOK1
ENSG00000100393,EP300
ENSG00000170345,FOS
ENSG00000010810,FYN
ENSG00000033327,GAB2
ENSG00000106070,GRB10
ENSG00000177885,GRB2
ENSG00000141738,GRB7
ENSG00000174775,HRAS
ENSG00000168918,INPP5D
ENSG00000096968,JAK2
ENSG00000171223,JUNB
ENSG00000157404,KIT
ENSG00000049130,KITLG
ENSG00000254087,LYN
ENSG00000169032,MAP2K1
ENSG00000126934,MAP2K2
ENSG00000112062,MAPK14
ENSG00000100030,MAPK1
ENSG00000102882,MAPK3
ENSG00000107643,MAPK8
ENSG00000007264,MATK
ENSG00000187098,MITF
ENSG00000198793,MTOR
ENSG00000145675,PIK3R1
ENSG00000105647,PIK3R2
ENSG00000124181,PLCG1
ENSG00000154229,PRKCA
ENSG00000179295,PTPN11
ENSG00000111679,PTPN6
ENSG00000132155,RAF1
ENSG00000137154,RPS6
ENSG00000117676,RPS6KA1
ENSG00000177189,RPS6KA3
ENSG00000108443,RPS6KB1
ENSG00000160999,SH2B2
ENSG00000160691,SHC1
ENSG00000124216,SNAI1
ENSG00000019549,SNAI2
ENSG00000185338,SOCS1
ENSG00000170677,SOCS6
ENSG00000115904,SOS1
ENSG00000197122,SRC
ENSG00000115415,STAT1
ENSG00000168610,STAT3
ENSG00000126561,STAT5A
ENSG00000173757,STAT5B
ENSG00000121068,TBX2
ENSG00000135605,TEC
ENSG00000141968,VAV
